group_speeds_bottom,group_speeds_top,mean_speeds_bottom,mean_speeds_top,mean_theta,p_value
0.1395088892455642,0.12044630625690966,0.36715132764726705,0.3423444345505227,1.585213844633948,1.0
0.19914892035513065,0.1496204776340535,0.4684104284991858,0.4668078645031572,1.8242767092386702,2.0
0.3153290408579356,0.2331124940496552,0.7012799537584613,1.0406064205487533,2.9061742051005077,3.0
0.35650584068983737,0.2789086505710446,0.5842095103361629,0.5020023785462929,2.562642461640007,4.0
0.43660112308309695,0.33706351665789597,0.7880420347091035,0.9150313787832693,2.9334364564452353,5.0
0.6384937498574444,0.45256273143456727,1.059957324315352,0.8287083466737747,2.7940119911176273,6.0
0.583806976029122,0.4009789163279855,1.1103378705036315,1.3073502317482117,4.428323914783688,7.0
0.8292689343262356,0.6186575014179795,1.3964361805724772,1.1028101204852956,3.557406026151278,8.0
0.7150483127593147,0.507376908087999,1.1194396358842762,0.8580312051346743,3.7852044707738663,9.0
0.9329809874961557,0.6655913192153279,1.6680079954209088,1.5947442974911652,3.7066433191246864,10.0
0.9109180904933916,0.6171716698791347,1.4790985923512052,1.0968914619733154,3.9430383053751883,11.0
0.9748289165785176,0.6775154143839724,1.4741579546979748,1.1526002049851376,1.575843310888057,12.0
1.2194092409540025,0.7972898232981077,1.809503440902439,1.2378604500990622,5.460182887952706,13.0
1.0617082068697943,0.7226918868783885,1.7047234548745518,1.2966660654783668,1.8913423259042665,14.0
1.235481372639872,0.8002683709820585,1.9812274250715807,1.457641368852794,1.8979624392494052,15.0
1.3260349993594212,0.880068472250837,1.8506802945355527,1.3468955529739541,3.079874508824085,16.0
1.523445901208882,1.1070677565617273,2.132243066254453,1.5011718714357323,3.0324920464489695,17.0
1.2817036706531626,0.89081566128915,1.969216554254225,1.5035114062097548,3.5328387099131207,18.0
1.2657639431271546,0.9088979811962146,2.1199670336196563,1.5498244703638753,3.611401853023559,19.0
1.5375362922348175,1.117942661484258,2.1851922493225864,1.5964850898772316,3.953508303139003,20.0
