group_speeds_bottom,group_speeds_top,mean_speeds_bottom,mean_speeds_top,mean_theta,p_value_one,p_value_two
3.776398929680106,3.3702396914241866,3.776398929680106,3.3702396914241866,2.4977348152759937,1.0,5.0
4.027794228034718,3.5509343967268854,4.027794228034718,3.5509343967268854,2.328799947443724,1.0,6.0
3.680586630264393,3.200734980844635,3.680586630264393,3.200734980844635,4.586010840040053,1.0,7.0
3.6506366818409095,3.113881511228191,3.6506366818409095,3.113881511228191,4.206341604122381,1.0,8.0
3.4239959256465293,2.9694039928783846,3.4239959256465293,2.9694039928783846,2.604468485147656,1.0,9.0
3.8358602460303564,3.1798373579222963,3.8358602460303564,3.1798373579222963,3.378256777461934,1.0,10.0
2.4817431310313025,2.2311285967451595,3.0283963600793364,2.690662984022211,1.797680408493145,2.0,5.0
2.6496472352061433,2.32715628253402,3.0485516498426355,2.694904912207337,3.3565150374206483,2.0,6.0
2.5865885887011895,2.2809115305553367,3.0020527559123846,2.6437267271955607,4.4414195876024545,2.0,7.0
2.7563036587981813,2.252837670060342,3.259443801551604,2.5959454562071596,2.664279313357904,2.0,8.0
2.686144831696556,2.3945621231201573,3.1379947383576314,2.8001099970184065,4.122482873184192,2.0,9.0
2.6936868675237964,2.2074181376602064,3.2293698237072173,2.586441831080233,1.9636950915097091,2.0,10.0
2.4978427575974607,2.1687068632487856,3.28293557236057,2.8228147196384814,1.8898690572636052,3.0,5.0
2.7245254986700695,2.4282234136787166,3.7893047570781637,3.3499124680275227,3.139387640413854,3.0,6.0
2.349563655930615,2.0610370639236564,3.1239834700857925,2.7325831363551174,3.293476340775089,3.0,7.0
2.284204491487643,1.9262993475483912,3.097110225596313,2.578775332525825,2.365638844886188,3.0,8.0
2.077313584336765,1.7400011927794985,2.9278235305902385,2.4546120940494864,3.0119545753759596,3.0,9.0
2.3569495987340603,1.959372965656627,3.468294529126615,2.836422655172414,2.6352021090998017,3.0,10.0
2.247661806304585,1.9755611691927908,3.2361917226767,2.822823174432435,4.211768705939565,4.0,5.0
2.2717340821831593,1.990903836932223,3.3559707443049827,2.8956818284961634,1.67711923071893,4.0,6.0
2.223295890470112,1.923534695720706,3.1076681332230924,2.6267836999949212,3.0576720368567645,4.0,7.0
2.360989688679003,2.0182677100022905,3.654711824109269,3.100607701082898,2.748727381797949,4.0,8.0
1.9613906609436977,1.6645799815765967,3.0216439535804938,2.5490338627454343,2.700981029796915,4.0,9.0
2.1955977594092153,1.8465828946702023,3.1850770865978686,2.602030233141357,3.4330387486152873,4.0,10.0
1.9289456600329635,1.667516766447322,3.2881079462991956,2.857277567562723,3.6187024726412464,5.0,5.0
1.9215367816640323,1.6574192088951503,3.4557486978302085,2.9385228210680405,2.20898302547404,5.0,6.0
1.9285533329240363,1.6378022541974633,3.012202931179987,2.537320071328201,4.263160310003954,5.0,7.0
2.0236440881756224,1.6878210387883885,3.3895176528438693,2.837575696169181,2.92870101909395,5.0,8.0
1.7218631115906333,1.4757396514255843,2.8941453856555666,2.496389834283073,3.1232094951408684,5.0,9.0
1.8859839303845725,1.6541386470972226,2.906734596625081,2.463249989590151,3.5567245826538425,5.0,10.0
