sample,D_angle,D_position,bottom_internal_pull_strength,bottom_morse_cutoff,bottom_morse_u0,bottom_morse_v0,bottom_morse_xi1,bottom_morse_xi2,cil_intensity,cil_wall_intensity,run_speed_min,run_to_tumble_rate_max,run_to_tumble_rate_min,theta_alignment,top_internal_pull_strength,top_morse_cutoff,top_morse_u0,top_morse_v0,top_morse_xi1,top_morse_xi2,tumble_to_run_rate_max,tumble_to_run_rate_min,cohesion_rg,penetration,front_x,pareto
1,0.08149418221589871,0.06588613635786802,0.8743466192753226,101.53963425607907,12.534014398778725,9.096596613485314,23.96874180026653,83.64375580277755,0.03953998935123365,0.05987320175099793,46.80275706087687,0.914331751287936,0.006452361195908676,1.3956362986940887,1.7569725018130735,77.77728635836691,115.24150494053984,40.63204236745207,14.956648788689892,71.1895544968076,0.9742864879138549,0.9607822730651259,NaN,NaN,NaN,false
2,0.17273627866789912,0.03435481681338224,2.220528908665458,63.32020307498803,10.221771380329631,19.085620237106614,6.359715396511873,21.775544060445064,0.055864645206315997,0.008555065336402521,68.81112821716926,0.7258333984430249,0.1251330393382192,3.3136796100131023,0.3141214377725121,90.94081588936405,73.9983911742163,58.35249748930109,14.427203921358927,42.64871960749143,1.6308406253726677,0.9110517404758129,14.344501489524767,4.822986087142127,118.4354668912002,false
3,0.1635666725760145,0.06579148993816286,3.9612807268444787,107.31350833147252,11.227598918645723,3.7353549741790304,10.834259811551561,30.55487630159785,0.01304389098353739,0.02130491885954492,35.879414527411555,0.9084017610952408,0.005548848316775734,5.4280137160555295,3.1869420513309437,72.6269141758723,102.53048299279897,54.3773680426384,4.203022588670619,47.89497758681847,1.5529442186021498,0.6385651983232642,NaN,NaN,NaN,false
4,0.21479041395030515,0.005155826386406743,3.737645062421297,64.66261337487333,12.87442673014848,9.828890550447625,4.209848218072221,54.917546813310885,0.0703661923921808,0.01531937880819525,19.119442063523877,0.5251831629329146,0.03156267539575131,0.051844447233048374,1.3974063871496258,99.96030809676543,22.948048795077852,49.53113865993145,5.4592512424362365,60.80683227320913,1.511488371200576,0.7517708542064576,NaN,NaN,NaN,false
5,0.1291420407188888,0.08201557109543947,2.1802621058670257,95.70235630841529,19.253741655435626,11.952866214556071,3.193030033336433,94.15291830402278,0.00889494111506134,0.06516724926587139,27.8378856613784,0.791874134126244,0.1775270872605256,2.4687759534053804,0.32952418371802183,99.85328121013198,31.649411514938134,54.45854761000484,14.262766216439093,61.35373869930295,2.4525505209919576,0.17770623923730308,NaN,NaN,NaN,false
6,0.15212749129076034,0.0047513055213359665,3.1254284101209633,50.04731830274395,4.207527261589833,14.992360390170722,15.851537221046499,84.862086576338,0.07502364324243269,0.015661408910654203,61.911128089480826,0.9149196984338618,0.011271088112824748,2.246010383983619,1.489798227142893,53.56306138600505,27.7030863310361,9.349554742055876,3.4046357485507306,62.8049923085222,1.7372151393026933,0.3886118112686906,65.8935426556634,6.34597481771096,175.43207026907402,false
7,0.13921848417239832,0.09581341187406507,0.2012656941948583,75.10586793201554,4.031602363258075,2.7761300754095912,20.655394941270117,83.96326559631339,0.06882906759102117,0.07946962513466424,17.76837802422086,0.962003805855962,0.032681548611206486,6.976908546342299,2.8450462273658133,49.33926266320552,102.48329331746307,40.15147103244869,11.341923494271686,30.11014875947414,2.0534599444771273,0.7871933458593614,86.19130840695861,14.08350045655687,231.20887082783238,false
8,0.06670872092846189,0.013315008014934428,3.6746893333941673,64.49935356526493,7.58831829573139,7.657069305696332,7.335546239269949,38.355720953026776,0.0463101826343675,0.03922558785830267,37.43792943396106,0.9857483964595495,0.15522450167310586,6.147650010648,0.5346453332726648,41.722542298474195,16.7780161821889,8.487479061429209,14.135477513917175,81.36760381089535,1.4187204003871967,0.34327462760022875,19.417180158083713,0.8233616477542967,122.56700689521236,false
9,0.23455736887515502,0.10755438503044436,1.8022950330546395,32.20586562940387,9.364077058041648,5.555776776757814,23.849527511962254,24.573119439930238,0.027608764581651436,0.021238084008601863,52.82781642306266,0.45301823326854174,0.16660515833285588,1.9496899790564446,0.6472208119727005,31.438501487250473,30.210503153976845,51.41200777244736,12.382732738050846,33.101592047243166,1.2425299052117118,0.8729024085292982,38.28780420746572,-11.631494430476096,136.71002704826776,false
10,0.20878063880553283,0.038414955942745126,3.458209999515293,54.244009747181956,3.4082946158621934,18.409107858691566,18.210065941642938,87.80257930140228,0.05578655491435396,0.0030230907263462292,51.853488227882366,0.41234139909256107,0.15493675308179788,0.9819757513113674,1.4233234427816632,57.88641379596648,36.80795218507237,32.82972317919594,11.908894944494605,53.208468331270566,0.7711690791435349,0.563443923075948,26.345811963974057,-6.327363860058902,126.57123695302951,false
11,0.23479166330792445,0.017632178311081968,3.578818977373057,56.276519078872305,14.630863310359066,8.791766180661428,24.525899773463312,54.800285080869344,0.036136952023592385,0.025316360620080837,64.51668806479981,0.6611360058245103,0.15583820021502834,0.6779083938811103,1.2435719205612519,67.60506406396243,103.30619390608375,53.40213094539142,3.9668493596229717,73.52727175583861,2.42703070198455,0.5837650711559985,NaN,NaN,NaN,false
12,0.03675626034495311,0.02934266595569602,3.7517485154938153,106.1078725270063,10.077740749543242,7.089170267299977,12.319157846201378,29.238154717101672,0.0730610504707136,0.07853096448952755,30.688868474753626,0.49740674372389704,0.13126502579151045,6.085345360475758,3.1517487519099805,35.26376349740823,34.50669195611941,20.73193777921211,9.395527764912412,51.52336324525321,1.6975002834859287,1.252656995742518,16.108258407935605,4.785147700573482,123.86939989396464,false
13,0.17457975366145348,0.06301825814957096,3.724437758869667,63.69446490462781,21.999156711475365,13.488996729789978,3.827580952123301,69.05410294032615,0.0632151380136507,0.06477486519863986,29.473976427509207,0.8799752893208721,0.1960848389051314,4.031354425983642,1.216582484312195,57.287634232349475,89.37759105800997,57.06643958434667,11.39845013112713,26.52605942400468,2.7885796604033977,1.2336796888400656,17.453399568381457,-1.8477927262245117,125.50842660477652,false
