time,cell_id,bottom_x,bottom_y,top_x,top_y
129,1,631.1412825902088,896.8142768897256,638.8229650305695,903.2317272766433
130,1,631.0648172488928,896.834598805659,638.8474402467891,903.1465995263595
131,1,630.9830924067826,896.8621477124799,638.8667233206246,903.0638738476122
132,1,630.901978788335,896.8908208155248,638.8844164155829,902.9815670051213
133,1,630.8341148470342,896.9236797516785,638.8962315882283,902.8946069247921
134,1,630.7681830673778,896.9541669832316,638.9071164041229,902.8175440120438
135,1,630.7066767678847,896.9921054275029,638.9209739414347,902.7348802148132
136,1,630.6518251866848,897.0360015638508,638.9334741147761,902.6606093583362
137,1,630.5925432133187,897.0868170171512,638.9459914078677,902.5852688037295
138,1,630.5340917537219,897.1439548207323,638.9583746447621,902.5132046126139
139,1,630.4730807368684,897.1921981129136,638.982612528913,902.4369407044898
140,1,630.4170516933784,897.2386791393782,639.0043674803386,902.3568284199896
141,1,630.3661922093984,897.2964549138326,639.0258172522526,902.279748848689
142,1,630.3113273520115,897.345918973439,639.0515774207988,902.1957038974737
143,1,630.2549347420004,897.3947324819046,639.0746940551152,902.1162644020367
144,1,630.1981140305206,897.4443560387058,639.1027836139777,902.0372856442544
145,1,630.1501308123936,897.494353923405,639.1307217692861,901.9540280723246
146,1,630.1027295148094,897.5509811962994,639.1592168767166,901.8689910310438
147,1,630.058302742099,897.6076058014631,639.1859310161939,901.7773537600536
148,1,630.0116624546723,897.6655631120058,639.2092131477809,901.6905714587753
149,1,629.96692762706,897.7242464478089,639.2277536382502,901.6006983012994
150,1,629.9340955606708,897.7868188379783,639.2349094714801,901.5071459093439
151,1,629.8986618110958,897.8455922834714,639.2357254913715,901.4053960687796
152,1,629.8580997722245,897.8992795160029,639.2392177938132,901.3085613033529
153,1,629.8080903427809,897.9548864537445,639.258414606019,901.2176564058659
154,1,629.7663232913037,898.0143137735794,639.2682322006058,901.1247219824569
155,1,629.7220577562955,898.0780436855474,639.2757231324422,901.0320673773641
156,1,629.6788315060481,898.1398142715241,639.2804018334073,900.9317095074664
157,1,629.6359462260008,898.1928684262231,639.2870996084268,900.8316092565577
158,1,629.5825745369265,898.245238642541,639.2969754317384,900.7326152219758
159,1,629.5251974789547,898.3002442117695,639.3036851789487,900.6360528619764
160,1,629.4768451057349,898.362082305303,639.2984188196391,900.5363837159106
161,1,629.433440517905,898.4232610430219,639.2814839669816,900.4361693717148
162,1,629.3946349492566,898.4824094966532,639.2610575102174,900.3339321667556
163,1,629.3602452406537,898.5439341447888,639.2398552965167,900.2339560095083
164,1,629.3279202106902,898.599364039387,639.2112027238957,900.1250267848596
165,1,629.2996177342127,898.6554368845358,639.1742563437242,900.0141071388849
166,1,629.2599906650561,898.7093878002972,639.1531058005447,899.9022882181159
167,1,629.2156620292955,898.7572930439443,639.1380060679094,899.7962577600312
168,1,629.174463185161,898.8086798168408,639.1163201017409,899.6964438504504
169,1,629.1439740319789,898.8661464854122,639.0893725754605,899.5996540382831
170,1,629.1110898986896,898.9218294067718,639.0713663715791,899.5080479517419
171,1,629.0785250016337,898.9802277396878,639.0514178578464,899.416695327715
172,1,629.047536405611,899.0387678033943,639.0323943110948,899.3219586854993
173,1,629.0197496124366,899.0992720158619,639.0114429974403,899.2290957532492
174,1,628.9914373395221,899.1471980054225,638.9916278637414,899.1328200103635
175,1,628.9633890168507,899.1952721461791,638.9675223273764,899.0403087750768
176,1,628.9381149909203,899.2448632589123,638.9450831052249,898.9574056805162
177,1,628.9158717068491,899.2992502292675,638.9193818367049,898.8780119432319
178,1,628.8932429758189,899.3583948566171,638.8994238394744,898.7973732612402
179,1,628.8736489915705,899.412971865818,638.8767801147682,898.7170749479649
180,1,628.8513583309598,899.4653191715435,638.8468129704562,898.6419084919664
181,1,628.8393485795943,899.5193372687418,638.8108699153667,898.5697800144499
182,1,628.8332456542254,899.569934638028,638.7838974900358,898.4983393921314
183,1,628.8266343060676,899.6265721331168,638.7675201817314,898.4289081947135
184,1,628.825729199002,899.6840560451813,638.7477343011748,898.3574218186653
185,1,628.8210961896791,899.7383330737499,638.729547290449,898.2840783797581
186,1,628.8231462339055,899.7924854205373,638.7054708465032,898.2098069221105
187,1,628.821331784127,899.8481628240844,638.6758106011946,898.1422984218935
188,1,628.8196017659761,899.9056645972365,638.6459306635877,898.0798812168005
