group_speeds_bottom,group_speeds_top,mean_speeds_bottom,mean_speeds_top,mean_theta,p_value
2.9029635353757888,2.5855621729163976,2.9029635353757888,2.5855621729163976,4.022952296672294,1.0
2.8003159476516037,2.533914073750635,3.4434876753135613,3.1237092497168897,2.8872863168365868,2.0
2.458489634828675,2.0675228635722886,3.941328095941007,3.4485959332447775,3.585305340604588,3.0
1.992797865511471,1.7439533604127833,3.08551358366621,2.690582823452715,4.8676090003103765,4.0
1.9694069176856952,1.7328512651409398,3.043112593323469,2.6346478033470047,3.0736777535268476,5.0
